displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Oceanodroma sp.,Oceanodroma sp.,Oceanodroma sp.,oceano1,spuh,oceano1,spuh,False
storm-petrel sp. (white-rumped),storm-petrel sp. (white-rumped),Oceanitidae/Hydrobatidae sp. (white-rumped),storm-2,spuh,storm-2,spuh,False
storm-petrel sp.,storm-petrel sp.,Oceanitidae/Hydrobatidae sp.,stopet,spuh,stopet,spuh,False
Northern Fulmar,Northern Fulmar,Fulmarus glacialis,norful,species,norful,species,True
Fea's Petrel,Fea's Petrel,Pterodroma feae,feapet1,species,feapet1,species,True
Zino's/Fea's Petrel,Zino's/Fea's Petrel,Pterodroma madeira/feae,y00609,slash,y00609,slash,False
Bulwer's Petrel,Bulwer's Petrel,Bulweria bulwerii,bulpet,species,bulpet,species,True
Cory's Shearwater,Cory's Shearwater,Calonectris diomedea,corshe,species,corshe,species,True
Great Shearwater,Great Shearwater,Ardenna gravis,greshe,species,greshe,species,True
Sooty Shearwater,Sooty Shearwater,Ardenna grisea,sooshe,species,sooshe,species,True
Manx Shearwater,Manx Shearwater,Puffinus puffinus,manshe,species,manshe,species,True
Yelkouan Shearwater,Yelkouan Shearwater,Puffinus yelkouan,levshe1,species,levshe1,species,True
Balearic Shearwater,Balearic Shearwater,Puffinus mauretanicus,balshe1,species,balshe1,species,True
Yelkouan/Balearic Shearwater,Yelkouan/Balearic Shearwater,Puffinus yelkouan/mauretanicus,medshe1,slash,medshe1,slash,False
Barolo Shearwater,Barolo Shearwater,Puffinus baroli,litshe1,species,litshe1,species,True
black-and-white shearwater sp.,black-and-white shearwater sp.,Puffinus sp. (black-and-white shearwater sp.),bawshe1,spuh,bawshe1,spuh,False
shearwater sp.,shearwater sp.,Procellariidae sp. (shearwater sp.),shearw,spuh,shearw,spuh,False
Black Stork,Black Stork,Ciconia nigra,blasto1,species,blasto1,species,True
White Stork,White Stork,Ciconia ciconia,whisto1,species,whisto1,species,True
Ciconia sp.,Ciconia sp.,Ciconia sp.,ciconi1,spuh,ciconi1,spuh,False
Marabou Stork,Marabou Stork,Leptoptilos crumenifer,marsto1,species,marsto1,species,True
Yellow-billed Stork,Yellow-billed Stork,Mycteria ibis,yebsto1,species,yebsto1,species,True
Brown Booby,Brown Booby,Sula leucogaster,brnboo,species,brnboo,species,True
Northern Gannet,Northern Gannet,Morus bassanus,norgan,species,norgan,species,True
sulid sp.,sulid sp.,Sulidae sp.,sulid,spuh,sulid,spuh,False
Pygmy Cormorant,Pygmy Cormorant,Microcarbo pygmaeus,pygcor2,species,pygcor2,species,True
Great Cormorant,Great Cormorant,Phalacrocorax carbo,grecor,species,grecor,species,True
European Shag,European Shag,Phalacrocorax aristotelis,eursha1,species,eursha1,species,True
Great Cormorant/European Shag,Great Cormorant/European Shag,Phalacrocorax carbo/aristotelis,y00769,slash,y00769,slash,False
cormorant sp.,cormorant sp.,Phalacrocoracidae sp.,cormor1,spuh,cormor1,spuh,False
Great White Pelican,Great White Pelican,Pelecanus onocrotalus,grwpel1,species,grwpel1,species,True
Pink-backed Pelican,Pink-backed Pelican,Pelecanus rufescens,pibpel1,species,pibpel1,species,True
Dalmatian Pelican,Dalmatian Pelican,Pelecanus crispus,dalpel1,species,dalpel1,species,True
pelican sp.,pelican sp.,Pelecanus sp.,pelica1,spuh,pelica1,spuh,False
Great Bittern,Great Bittern,Botaurus stellaris,grebit1,species,grebit1,species,True
Little Bittern,Little Bittern,Ixobrychus minutus,litbit1,species,litbit1,species,True
Dwarf Bittern,Dwarf Bittern,Ixobrychus sturmii,dwabit1,species,dwabit1,species,True
