#,Book name,Column1,eBird name,code_loc,lat,lon,IBA,Fee
18,Mwea paddies,general,Mwea Rice Fields,L3622974,-0.7008445,37.334547,,
19,Thika settling ponds,sub,Thika Wastewater Treatment Plant,L1802992,-1.0872018,37.116227,,
20,Magadi Road,sub,Upper Magadi Road (from Corner Baridi to Oltepesi/Olorgesaillie),L1458572,-1.5104623,36.6193628,,
20,Magadi Road,sub,"Olekemonge Gorge, Magadi Road",L1874621,-1.5969414,36.4029354,,
20,Magadi Road,sub,"Olepolos Wadi, Magadi Rd",L4794095,-1.521578,36.607238,,
20,Magadi Road,sub,Oltepesi Waterhole--Magadi Rd,L1458590,-1.5602967,36.4853539,,
20,Magadi Road,sub,Corner Baridi (Magadi Rd),L4129352,-1.4637295,36.6526785,,
20,Magadi Road,sub,Lake Magadi,L921090,-1.8989137,36.2981415,,
20,Magadi Road,sub,Lower Magadi Road (from below Olepolos to the bluffs above the lake),L1458581,-1.6648124,36.3761616,,
21,Olorgesaillie prehistoric site,general,Olorgesailie Archaeological Site,L1809323,-1.5774669,36.4446222,,
22,Lake Magadi,general,Lake Magadi,L921090,-1.8989137,36.2981415,,
23,Nguruman,general,Southern Nguruman Hills,L7842678,-1.9010665,35.7773703,,
24,Lake Naivasha,general,Lake Naivasha,L1195069,-0.7710796,36.3516998,,
24,Lake Naivasha,sub,Lake Naivasha Country Club,L1233648,-0.772367,36.4206648,,
24,Lake Naivasha,sub,Lake Naivasha Resort,L9905627,-0.7592178,36.4315653,,
24,Lake Naivasha,sub,Lake Naivasha--Barton Hill,L1027884,-0.7909905,36.2960815,,
24,Lake Naivasha,sub,Lake Naivasha--Camp Carnelley's and Fisherman's Camp,L2366739,-0.8267054,36.3364112,,
24,Lake Naivasha,sub,Lake Naivasha--Crayfish Camp,L5420336,-0.8301683,36.3514102,,
24,Lake Naivasha,sub,Lake Naivasha--Crescent Camp,L3837535,-0.764421,36.421906,,
24,Lake Naivasha,sub,Lake Naivasha--Crescent Island,L961800,-0.765587,36.3983917,,
24,Lake Naivasha,sub,Lake Naivasha--Elsamere,L1279463,-0.8139158,36.3151574,,
24,Lake Naivasha,sub,Lake Naivasha--Lake Oloidon,L1027936,-0.8135188,36.2777567,,
24,Lake Naivasha,sub,Lake Naivasha--Loldia House,L1314526,-0.7137987,36.32842,,
24,Lake Naivasha,sub,Lake Naivasha--Safariland/Sopa Lodge,L3645588,-0.8108759,36.3918525,,
25,Lake Elementaita,general,Lake Elementaita (general),L1921454,-0.4524947,36.2422228,,
25,Lake Elementaita,sub,Lake Elementaita Hot Spring,L5375564,-0.4724497,36.258316,,
25,Lake Elementaita,sub,Lake Elementaita--Sentrim Lodge (formerly Flamingo Camp),L4235132,-0.4335978,36.2498939,,
25,Lake Elementaita,sub,Lake Elementaita--Serena Camp (formerly Delamere Camp),L1874607,-0.4055144,36.2406403,,
25,Lake Elementaita,sub,Lake Elementaita--South,L4711181,-0.4764542,36.2661803,,
25,Lake Elementaita,sub,Lake Elementaita--Sunbird Lodge,L6201096,-0.41141,36.24727,,
26,Lake Nakuru,general,Lake Nakuru NP,L920937,-0.3567787,36.0902596,,
26,Lake Nakuru,sub,Lake Nakuru NP--Flamingo Hill Camp,L4213876,-0.3154487,36.0715672,,
26,Lake Nakuru,sub,Lake Nakuru NP--Lake Nakuru Lodge,L1233670,-0.4226908,36.1300206,,
26,Lake Nakuru,sub,Lake Nakuru NP--Lion Hill Lodge,L5381648,-0.3468709,36.121801,,
27,Lake Bogoria,general,Lake Bogoria NR,L961804,0.2499382,36.1024475,,
27,Lake Bogoria,sub,Lake Bogoria NR--Fig Tree Campsite,L2712581,0.1922141,36.1226499,,
27,Lake Bogoria,sub,Lake Bogoria Spa Resort,L2712562,0.3556626,36.0517967,,
28,Lake Baringo,general,Lake Baringo (general),L920933,0.6199601,36.0471725,,
28,Lake Baringo,sub,Lake Baringo--Inshore Cliffs and surrounds,L1235064,0.6211231,36.0081196,,
28,Lake Baringo,sub,Lake Baringo--Ol Kokwe Island,L4338162,0.5970275,36.0732651,,
28,Lake Baringo,sub,"Lake Baringo--Ruko Game Reserve (""Giraffe Island"")",L4338147,0.641665,36.094434,,
28,Lake Baringo,sub,Lake Baringo--Samatian Island,L4335952,0.640508,36.072424,,
28,Lake Baringo,sub,Lake Baringo--Tumbili Cliff Lodge,L8386766,0.6271963,36.0350101,,
28,Lake Baringo,sub,Lake Baringo--West Shore (incl. Baringo Club and Robert's Camp and airstrip),L1235061,0.6081848,36.0209513,,
29,Southern Kerio Valley,sub,Kerio Forest Overlook,L3539831,0.1858231,35.626173,,
29,Southern Kerio Valley,sub,Kerio Valley and Chebloch Gorge,L1481063,0.4533723,35.6482422,,
29,Southern Kerio Valley,sub,Kerio Valley--Tambach Escarpment,L2059234,0.5701467,35.5242062,,
29,Southern Kerio Valley,sub,Kerio View Hotel,L1966178,0.6551963,35.5111213,,
30,Kakamega Forest,general,Kakamega Forest NR (General),L920920,0.2546388,34.8810654,,
30,Kakamega Forest,sub,Kakamega Forest NR--Ikuywa River,L1756091,0.2126812,34.9231484,,
30,Kakamega Forest,sub,Kakamega Forest NR--Kakungu Hill and Quarry,L1874646,0.2169512,34.8992016,,
30,Kakamega Forest,sub,Kakamega Forest NR--Pumphouse Trail,L1478001,0.2338854,34.8685171,,
30,Kakamega Forest,sub,Kakamega Forest NR--Rondo Retreat Lodge,L1234251,0.2269197,34.8846549,,
30,Kakamega Forest,sub,Kakamega Forest NR--Udo's Camp,L2315554,0.353234,34.8638034,,
30,Kakamega Forest,sub,Kakamega Forest NR--Zimmerman Plot/Isecheno Forest Station,L1478011,0.2387349,34.8658592,,
30,Kakamega Forest,sub,Kakamega town (incl. Golf Hotel),L1807584,0.2810984,34.7557571,,
31,South Nandi Forest,general,South Nandi Forest IBA,L2484703,0.0818923,34.9886489,,
32,Masai mara National Reserve,general,Maasai Mara NR (general please use more specific location if possible),L1235762,-1.4728039,35.0894737,,
32,Masai mara National Reserve,sub,"Maasai Mara NR, Eastern Section",L9558642,-1.536,35.215,,
32,Masai mara National Reserve,sub,"Maasai Mara NR, Elangata Olerai Camp, Kenya",L9538554,-1.6532257,35.3636689,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Aruba Mara Camp & Talek Gate,L1965607,-1.4426421,35.2082205,,
